id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
48,4.6,2.2,1.7,0.2,Phlox multiflora A. Nelson ssp. multiflora
49,5.0,2.6,2.4,1.7,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. ssp. lindleyi (Douglas) F.H. Lewis & M.E. Lewis
50,6.4,2.8,2.3,1.8,Cladonia asahinae J.W. Thomson
51,4.8,3.2,1.6,1.8,Acer negundo L. var. californicum (Torr. & A. Gray) Sarg.
52,7.6,3.7,3.6,2.0,Myroxylon balsamum (L.) Harms var. balsamum
53,7.2,2.8,6.0,1.2,Racomitrium varium (Mitt.) A. Jaeger
54,7.0,2.6,6.4,1.4,Vitis shuttleworthii House
55,5.8,2.5,2.4,1.1,Abronia villosa S. Watson var. villosa
56,4.6,4.1,1.5,1.0,Lantana L.
57,5.8,2.1,2.2,1.8,Rosa stellata Wooton ssp. mirifica (Greene) W.H. Lewis var. mirifica (Greene) Cockerell
58,5.9,3.6,3.2,1.8,Passiflora coccinea Aubl.
59,7.8,3.9,1.8,1.6,Muhlenbergia sinuosa Swallen
60,7.6,2.6,2.6,0.9,Yucca schidigera Roezl ex Ortgies
61,6.2,3.5,2.6,0.3,Dysphania R. Br.
62,4.6,2.7,3.0,1.9,Eriastrum luteum (Benth.) H. Mason
63,7.8,2.4,3.8,0.5,Picris hieracioides L. ssp. kamtschatica (Ledeb.) Hultén
64,4.7,2.1,6.2,1.9,Musa balbisiana Colla
65,7.3,3.6,5.7,2.4,Salix reticulata L. ssp. glabellicarpa Argus
66,6.1,3.3,1.1,1.5,Mimulus eastwoodiae Rydb.
67,5.6,3.9,4.6,1.7,Pyrola asarifolia Michx.
68,6.5,3.2,2.6,1.7,Pinus leucodermis Antoine
69,6.1,2.9,3.0,2.0,Sphagnum fimbriatum Wilson
70,7.1,3.2,6.1,1.2,Lobelia hypoleuca Hillebr.
71,5.0,3.3,5.3,1.0,Cynanchum utahense (Engelm.) Woodson
72,4.5,2.1,3.5,1.8,Lotus grandiflorus (Benth.) Greene
73,7.0,2.4,5.2,0.9,Matricaria discoidea DC.
74,5.8,2.8,1.8,0.6,Loxospora pustulata (Brodo & W.L. Culb.) R.C. Harris
75,6.8,4.3,2.9,0.2,Cayaponia americana (Lam.) Cogn.
76,6.6,3.1,6.9,1.1,Smelowskia johnsonii G. Mulligan
77,4.3,2.1,5.2,1.6,Leopoldinia piassaba Wallace
78,5.6,2.1,2.5,0.6,Zebrina Schnizl.
79,7.2,3.5,3.2,0.8,Larix kaempferi (Lam.) Carrière
80,6.8,2.9,3.7,0.7,Eriogonum ochrocephalum S. Watson var. ochrocephalum
81,4.2,3.0,6.8,1.6,Trillium cuneatum Raf.
82,4.7,4.1,6.4,1.2,Polemonium pectinatum Greene
83,5.0,2.7,4.4,0.4,Oenothera canescens Torr. & Frém.
84,6.5,2.1,2.7,0.3,Teucrium cubense Jacq.
85,5.0,3.6,3.1,2.3,Dalea villosa (Nutt.) Spreng. var. grisea (Torr. & A. Gray) Barneby
86,6.2,3.4,4.6,1.3,Carex oronensis Fernald
87,4.6,3.0,4.0,0.3,Oreostemma Greene
88,6.3,2.5,4.1,1.4,Hakea rostrata F. Muell.
89,4.5,2.4,1.4,1.2,Dryopteris ×neowherryi W.H. Wagner
90,4.9,2.4,3.3,1.5,Hydrophyllum capitatum Douglas ex Benth. var. alpinum S. Watson
91,5.2,2.1,1.8,0.8,Iris verna L. var. smalliana Fernald ex M.E. Edwards
92,5.9,3.8,4.8,2.5,Cyperus croceus Vahl
93,6.4,2.3,6.5,0.5,Agrostis avenacea J.F. Gmel.
94,6.1,2.6,1.8,2.1,Schistidium rivulare (Brid.) Podp. var. latifolium (J.E. Zetterst.) H.A. Crum & L.E. Anderson
95,7.5,2.6,5.4,2.1,Elymus scribneri (Vasey) M.E. Jones
96,6.3,2.2,5.6,2.3,Huperzia serrata (Thunb.) Trevis.
97,4.9,3.6,3.4,2.1,Carex laxiculmis Schwein. var. laxiculmis
98,4.8,2.9,6.9,1.5,Elymus svensonii Church
99,4.5,3.5,3.0,1.2,Lepidium bonariense L.
100,5.0,2.6,6.7,1.7,Rosa bracteata J.C. Wendl.
101,4.2,2.3,5.0,0.5,Escobaria vivipara (Nutt.) Buxbaum var. radiosa (Engelm.) D.R. Hunt
102,6.3,2.9,6.9,0.2,Paronychia lindheimeri Engelm. ex A. Gray
103,6.4,4.3,1.5,0.5,Collinsia childii Parry ex A. Gray
104,7.6,4.2,2.8,1.3,Centaurea ×pouzinii DC.
105,6.6,3.4,5.3,2.3,Placynthium stenophyllum (Tuck.) Fink
106,4.1,4.3,4.8,0.3,Ficus benjamina L.
107,6.8,4.0,5.8,0.9,Leptogium adpressum Nyl.
108,6.5,3.2,3.1,0.4,Linum virginianum L.
109,4.7,2.7,6.1,1.4,Astragalus miser Douglas ex Hook.
110,6.8,4.4,5.8,1.7,Euphorbia cooperi N.E. Br. ex A. Berger
111,7.3,4.2,6.1,1.2,Antitrichia curtipendula (Hedw.) Brid.
112,4.5,2.9,1.8,0.2,Hydrocharis L.
113,4.9,4.3,1.8,2.2,Thelypteris sclerophylla (Poepp. ex Spreng.) Morton
114,5.9,4.3,5.6,1.3,Leontodon taraxacoides (Vill.) Mérat ssp. taraxacoides
115,6.5,2.1,5.3,0.9,Echinops ritro L.
116,5.1,4.2,4.1,1.2,Stylophorum Nutt.
117,7.5,2.6,5.2,2.0,Camelina microcarpa Andrz. ex DC.
118,6.5,3.1,1.1,2.3,Dendropemon caribaeus Krug & Urb.
119,4.6,3.5,4.7,1.6,"Sabatia dodecandra (L.) Britton, Sterns & Poggenb. var. foliosa (Fernald) Wilbur"
120,5.1,2.2,3.3,2.3,Cornus ×friedlanderi W.H. Wagner
121,4.7,3.3,2.3,2.3,Euphorbia agraria M. Bieb.
122,4.1,3.0,4.1,1.5,Allium canadense L. var. mobilense (Regel) Ownbey
123,5.5,3.2,5.2,2.4,Trisetum sibiricum Rupr.
124,5.0,3.5,3.5,1.1,Muhlenbergia porteri Scribn. ex Beal
125,4.3,3.4,5.2,0.8,Huperzia porophila (Lloyd & Underw.) Holub
126,7.7,2.3,1.3,1.9,Cercocarpus ledifolius Nutt. var. intercedens C.K. Schneid.
127,5.6,2.2,4.7,1.1,Limnanthes floccosa Howell ssp. floccosa
128,6.3,2.4,2.5,0.4,Catillaria flavens (Willey) Fink
129,5.1,2.5,3.9,2.2,Cephalocereus Pfeiff.
130,5.9,4.2,3.1,1.0,Carex tiogana D.W. Taylor & J.D. Mastrog.
131,6.9,2.4,2.1,1.0,Melaspilea stellans Zahlbr.
132,5.2,3.3,4.0,0.4,Zigadenus virescens (Kunth) J.F. Macbr.
133,5.0,3.6,1.0,2.3,Tonestus pygmaeus (Torr. & A. Gray) A. Nelson
134,6.6,2.2,1.4,0.5,Brachypodium P. Beauv.
135,5.6,4.4,3.4,1.9,Phlox pilosa L. ssp. latisepala Wherry
136,4.3,2.1,1.9,1.2,Chiodecton malmei Thor
137,6.3,3.5,4.1,1.0,Bambusa tulda Roxb.
138,5.0,2.1,4.0,2.3,Trichostema rubisepalum Elmer
139,5.4,3.4,1.9,2.2,Clarkia tembloriensis Vasek
140,4.8,3.8,5.6,2.3,Phlox austromontana Coville ssp. prostrata (E.E. Nelson) Wherry
141,6.8,3.2,4.9,0.3,Melaspilea cupularis Müll. Arg.
142,6.2,3.8,3.4,1.5,Penstemon richardsonii Douglas ex Lindl. var. curtiflorus (D.D. Keck) Cronquist
143,4.2,2.5,6.4,0.9,Colchicum autumnale L.
144,4.2,2.9,5.2,1.9,Packera neomexicana (A. Gray) W.A. Weber & Á. Löve var. metcalfei (Greene) D.K. Trock & T.M. Barkley
145,6.1,2.4,1.6,0.1,Bryum Hedw.
146,5.7,3.3,6.8,0.4,Nama californicum (A. Gray) Bacon
147,6.7,3.3,2.4,1.2,Glycyrrhiza lepidota Pursh
148,7.6,2.3,2.0,2.3,Sedum wrightii A. Gray ssp. priscum R.T. Clausen
149,7.3,3.4,5.0,1.6,Flavopunctelia flaventior (Stirt.) Hale
150,7.5,4.4,2.1,0.1,Carex multicostata Mack.
151,7.1,3.2,5.2,2.4,Dichodontium Schimp.
152,7.1,2.7,2.7,0.6,Dubautia ciliolata (DC.) D.D. Keck ssp. glutinosa G.D. Carr
153,7.8,2.8,4.9,0.5,Pedilanthus tithymaloides (L.) Poit. ssp. smallii (Millsp.) Dressler
154,5.3,3.6,3.2,1.0,Berula Besser ex W.D.J. Koch
155,5.9,2.5,1.8,1.4,Sphagnum wilfii H.A. Crum
156,4.7,4.1,1.6,1.3,Stenaria nigricans (Lam.) Terrell var. gypsophila (B.L. Turner) Terrell
157,4.6,4.4,5.5,1.8,Lyrocarpa Hook. & Harv. ex Harv.
158,4.1,2.7,4.5,1.9,Drypetes alba Poit.
159,6.2,3.5,1.3,0.9,Monardella hypoleuca A. Gray ssp. hypoleuca
160,7.6,4.2,4.6,0.9,Harmonia nutans (Greene) B.G. Baldw.
161,6.2,2.9,5.6,1.8,"Heuchera rubescens Torr. var. rydbergiana Rosend., Butters & Lakela"
162,5.4,4.4,3.8,1.4,Rosa sicula Tratt.
163,5.7,3.2,5.6,2.2,Catillaria nigroclavata (Nyl.) Schuler
164,4.4,4.4,3.2,0.1,Evernia divaricata (L.) Ach.
165,7.3,3.5,2.6,2.1,Conradina canescens (Torr. & A. Gray ex Benth.) A. Gray
166,5.0,2.9,2.9,2.1,Ranunculus bonariensis Poir.
167,7.5,2.4,4.3,1.3,Aconitum delphiniifolium DC.
168,7.4,3.7,5.5,0.2,Eragrostis hirsuta (Michx.) Nees
169,6.8,4.0,2.8,1.0,Noccaea parviflora (A. Nelson) Holub
170,5.9,3.0,1.3,0.6,Nephrolepis cordifolia (L.) C. Presl
171,6.0,3.0,1.0,1.7,Jarilla heterophylla (Cerv. ex Llave) Rusby
172,7.2,3.3,5.2,0.4,Physalis virginiana Mill. var. virginiana
173,6.0,2.9,6.6,0.3,"Ilex mucronata (L.) Powell, Savolainen & Andrews"
174,6.1,2.5,6.9,1.1,Euryops (Cass.) Cass.
175,4.8,4.3,5.0,2.2,Hackelia ibapensis L.M. Shultz & J.S. Shultz
176,5.5,3.5,2.8,1.5,Viola nuttallii Pursh
177,7.9,3.4,6.5,0.9,Aconitum infectum Greene
178,5.7,4.1,3.6,1.8,Lasallia pensylvanica (Hoffm.) Llano
179,6.0,3.3,1.5,1.4,Cyperus fuligineus Chapm.
180,6.6,2.6,5.3,2.1,Potentilla drummondii Lehm.
181,6.3,3.5,6.4,1.1,Aniseia Choisy
182,6.4,2.4,2.4,2.4,Morus alba L.
183,4.6,4.3,4.2,1.2,Verrucaria caerulea DC.
184,4.1,3.6,3.9,1.9,Tillandsia paucifolia Baker
185,4.1,2.6,1.3,2.4,Hibiscadelphus ×puakuahiwi K. Baker & S. Allen
186,6.3,2.5,6.0,1.1,Mentzelia springeri (Standl.) Tidestr.
187,5.1,3.5,2.4,1.7,Phyllanthus polygonoides Nutt. ex Spreng.
188,7.5,3.2,2.3,0.8,Pascopyrum smithii (Rydb.) Á. Löve
189,4.3,4.3,1.4,1.6,Sphagnum junghuhnianum Dozy & Molk. var. pseudomolle (Warnst.) Warnst.
190,4.2,4.3,4.5,1.4,Dryobalanops C.F. Gaertn.
191,4.2,3.1,2.2,1.7,Clusia clusioides (Griseb.) D'Arcy
192,4.1,3.0,2.9,0.5,Leonurus cardiaca L.
193,5.6,2.9,6.9,1.3,Panicum hirsutum Sw.
194,4.2,4.0,1.2,0.3,Opuntia tenuiflora Small
195,5.0,3.8,2.8,1.7,Stylisma patens (Desr.) Myint
196,4.3,2.9,5.0,1.6,Pteris ×hillebrandii Copeland
197,6.4,4.2,4.5,2.4,Eriogonum grande Greene var. grande
198,6.2,3.2,6.5,1.8,Mirabilis albida (Walter) Heimerl
199,6.5,3.5,1.5,1.9,Pinaropappus roseus (Less.) Less. var. foliosus (A. Heller) Shinners
200,5.2,3.1,2.2,2.1,Peltula obscurans (Nyl.) Gyel. var. hassei (Zahlbr.) Wetmore
201,7.6,2.3,6.2,1.5,Asclepias connivens Baldw.
202,7.7,2.8,6.5,0.3,Lecanora pringlei (Tuck.) Lamb
203,7.0,2.8,2.7,0.4,Sabatia campestris Nutt.
204,5.0,2.1,5.6,0.3,Lecanora praecrenata Nyl.
205,7.1,3.3,3.6,2.1,Trillium simile Gleason
206,4.9,3.1,6.4,0.8,Cheilanthes lanosa (Michx.) D.C. Eaton
207,5.7,2.5,1.0,1.9,Yucca torreyi Shafer
208,4.7,4.2,5.6,1.2,Myriophyllum tenellum Bigelow
209,4.2,2.8,6.0,1.8,Pedicularis parryi A. Gray ssp. mogollonica (Greene) G.D. Carr
210,4.2,2.3,2.8,1.6,Phalacroseris bolanderi A. Gray var. coronata H.M. Hall
211,5.1,4.1,5.1,0.8,Hydrolea quadrivalvis Walter
212,7.5,3.4,2.4,0.4,Silphium asteriscus L. var. asteriscus
213,6.4,3.6,4.5,0.7,Lasianthus Jack
214,4.7,2.8,1.1,2.2,Allium howellii Eastw.
215,7.3,3.6,3.5,0.5,Trifolium miegeanum Maire
216,4.5,3.9,3.0,1.9,Opuntia camanchica Engelm. & J.M. Bigelow
217,4.9,3.9,1.8,1.3,Crepis modocensis Greene ssp. glareosa (Piper) Babc. & Stebbins
218,6.2,3.4,2.3,1.6,Calliergon orbicularicordatum (Renauld & Cardot) Broth.
219,7.8,3.4,6.2,1.2,Cyrtandra sessilis H. St. John & Storey
220,4.0,2.8,3.0,1.1,Hazardia Greene
221,7.4,2.7,3.7,2.4,Keckiella cordifolia (Benth.) Straw
222,7.2,4.4,5.1,0.7,Honckenya peploides (L.) Ehrh. ssp. major (Hook.) Hultén
223,5.3,3.2,3.7,0.6,Stellaria media (L.) Vill.
224,6.2,2.9,4.3,1.9,Jatropha hernandiifolia Vent. var. hernandiifolia
225,5.3,2.7,2.2,0.9,Sacciolepis striata (L.) Nash
226,5.3,4.0,4.9,2.2,Lecidea californica Zahlbr.
227,5.6,2.1,2.0,2.4,Mitella trifida Graham var. violacea (Rydb.) Rosend.
228,4.1,3.6,1.9,0.9,"Isoetes texana Singhurst, Rushing & W.C. Holmes"
229,6.0,3.4,1.6,0.4,Krigia virginica (L.) Willd.
230,6.8,3.0,1.8,1.6,Salvia penstemonoides Kunth & Bouché
231,4.3,2.3,3.6,1.6,Cyperus amabilis Vahl
232,6.9,2.5,3.2,0.5,Antheropeas wallacei (A. Gray) Rydb.
233,6.9,2.7,4.9,1.7,Dysphania cristata (F. Muell.) Mosyakin & Clemants
234,6.8,3.8,4.0,2.4,Phlox nivalis Lodd. ex Sweet ssp. texensis Lundell
235,7.1,2.3,2.8,0.2,Ehrendorferia ochroleuca (Engelm.) Fukuhara
236,7.8,3.5,6.9,1.2,Lesquerella gracilis (Hook.) S. Watson
237,4.7,3.1,2.7,0.5,Leitneria pilosa J.A. Schrad. & W.R. Graves ssp. pilosa
238,5.5,3.1,5.9,0.5,Psilostrophe sparsiflora (A. Gray) A. Nelson
239,6.7,2.2,2.0,1.1,Lilium martagon L.
240,5.4,2.8,2.1,1.2,Quercus parvula Greene var. parvula
241,7.2,4.2,4.5,2.0,Peltula placodizans (Zahlbr.) Wetmore
242,7.1,2.9,6.9,1.5,Calamagrostis porteri A. Gray
243,4.4,3.4,1.5,0.5,Dalechampia L.
244,6.0,2.8,1.3,2.4,Hypoxis kilimanjarica Baker
245,5.9,2.2,5.0,2.1,Cordyla africana Lour.
246,4.6,4.0,4.2,0.9,Collema ceraniscum Nyl.
247,4.0,2.6,3.0,2.2,Sanicula crassicaulis Poepp. ex DC. var. crassicaulis
248,5.8,2.7,1.3,1.6,Minuartia michauxii (Fenzl) Farw. var. michauxii
249,7.9,2.4,3.9,2.0,Agnorhiza elata (H.M. Hall) W.A. Weber
250,5.0,3.5,1.1,0.5,Mentzelia hirsutissima S. Watson
251,7.7,3.0,3.4,0.1,Myrsine pukooensis (Levl.) Hosaka
252,5.1,4.1,3.5,2.2,Alnus oblongifolia Torr.
253,7.3,2.6,6.8,0.4,Robinia neomexicana A. Gray var. neomexicana
254,6.1,3.8,6.0,1.0,Epidendrum ciliare L.
255,4.0,4.2,4.9,1.1,Arisaema triphyllum (L.) Schott ssp. quinatum (Buckley) Huttleston
256,5.6,3.4,2.7,1.2,Bartsia L.
257,4.4,4.0,6.4,2.2,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. fimbriatum W.L. Theobald
258,6.1,2.7,1.3,0.9,Prenanthes barbata (Torr. & A. Gray) Milstead
259,7.4,4.0,3.8,1.6,Usnea deformis Mot.
260,7.5,3.7,6.4,2.2,Downingia elegans (Douglas ex Lindl.) Torr. var. elegans
261,5.3,3.8,1.5,1.2,Erigeron biolettii Greene
262,7.4,2.6,3.0,1.9,Vaccinium crassifolium Andrews ssp. crassifolium
263,6.3,3.4,2.2,0.6,Ruellia devosiana hort. Makoy ex A.E. Murray
264,6.9,2.5,6.3,1.3,Potentilla matsuokana Makino ssp. hemicryophila (Jurtzev) Soják
265,4.3,3.3,5.6,0.3,Cinnamomum Schaeff.
266,5.4,2.1,5.5,1.7,Lotus stipularis (Benth.) Greene
267,6.3,4.1,5.2,1.6,Tectaria heracleifolia (Willd.) Underw.
268,4.0,3.1,4.0,0.9,Eugenia foetida Pers.
269,4.5,3.2,5.0,2.4,Ranunculus ficaria L. var. bulbifera Marsden-Jones
270,4.3,3.2,3.8,1.0,Echinocereus pectinatus (Scheidw.) Engelm. var. wenigeri L.D. Benson
271,6.7,3.8,4.9,1.3,Gymnocarpium Newman
272,5.3,4.3,4.0,2.1,Petrophytum acuminatum Rydb.
273,4.8,2.8,6.1,1.9,Juniperus phoenicea L.
274,7.8,4.0,2.3,2.0,Pyrenopsis fuscoatra Fink
275,4.9,4.4,5.2,1.9,Bryocaulon Karnefelt
276,7.4,3.3,2.6,0.4,Podocarpus coriaceus Rich.
277,4.8,4.0,2.1,1.5,Pholistoma Lilja
278,5.7,3.1,4.3,1.0,Eugenia xerophytica Britton
279,4.0,3.4,6.2,1.6,Schoenocaulon texanum Scheele
280,7.4,2.5,5.1,1.8,Erythronium montanum S. Watson
281,5.4,3.0,1.9,1.6,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. bigelovii (A. Gray) G.L. Nesom & Baird
282,6.6,3.2,3.1,0.3,Angostura Roem. & Schult.
283,5.6,2.4,6.0,1.8,Thysanolaena latifolia (Roxb. ex Hornem.) Honda
284,6.1,3.0,2.4,1.9,Helianthus debilis Nutt.
285,5.0,3.2,3.9,1.0,Arceuthobium occidentale Engelm.
286,7.5,3.6,6.0,1.8,Frasera albicaulis Douglas ex Griseb. var. albicaulis
287,4.8,4.3,6.4,0.4,Antennaria pulcherrima (Hook.) Greene ssp. eucosma (Fernald & Wiegand) R.J. Bayer
288,7.2,4.1,5.0,1.5,Origanum majorana L.
289,5.6,2.9,4.7,1.0,Aletris aurea Walter
290,7.4,3.9,1.1,0.4,Lomatium marginatum (Benth.) J.M. Coult. & Rose var. purpureum Jeps.
291,4.6,4.3,1.9,2.0,Dudleya candelabrum Rose
292,4.5,3.2,4.3,1.5,Astragalus sclerocarpus A. Gray
293,4.8,3.8,6.6,0.5,Quercus alba × virginiana [unnamed hybrid]
294,7.1,3.3,3.4,1.3,Marsilea crenata C. Presl
295,7.8,2.4,1.7,0.2,Grindelia arizonica A. Gray var. stenophylla Steyerm.
296,7.7,2.6,4.7,1.2,Chimaphila umbellata (L.) W.P.C. Barton ssp. cisatlantica (S.F. Blake) Hultén
297,4.1,2.1,6.2,2.2,Githopsis pulchella Vatke ssp. pulchella var. pulchella
298,7.1,3.3,3.3,1.0,Funaria americana Lindb.
299,4.3,4.4,3.0,0.1,Eriodictyon crassifolium Benth.
300,4.9,2.9,6.5,1.1,Arenaria macradenia S. Watson ssp. macradenia var. kuschei (Eastw.) Maguire
301,5.8,3.6,5.0,1.8,Pecluma ptilodon (Kunze) M.G. Price ssp. ptilodon (Kunze) M.G. Price [excluded]
302,5.6,3.3,5.9,2.1,Orthotrichum pulchellum Brunt.
303,4.5,2.4,1.6,1.2,Solidago tortifolia Elliott
304,5.0,3.8,3.4,0.4,Artemisia pedatifida Nutt.
305,4.9,3.1,2.7,1.0,Schoenoplectiella saximontana (Fernald) Lye
306,6.5,4.1,2.8,2.0,Stellaria corei Shinners
307,4.7,4.1,2.0,1.4,Descurainia sophia (L.) Webb ex Prantl
308,4.9,3.8,3.0,1.2,Hesperocyparis abramsiana (C.B. Wolf) Bartel var. butanoensis (Silba) Bartel & R.P. Adams
309,7.1,2.7,5.9,2.4,Santalum L.
310,6.5,2.2,3.9,1.6,Ceanothus ×delileanus Spach
311,5.6,2.5,2.9,0.6,Platyhypnidium pringlei (Cardot) Broth.
312,4.1,2.8,3.0,0.9,Chenopodium berlandieri Moq. var. macrocalycium (Aellen) Cronquist
313,7.1,3.5,3.9,1.1,Seligeria careyana Vitt & Schof.
314,4.2,2.2,2.4,0.5,Ludwigia linearis Walter
315,7.9,3.1,5.6,0.3,Solanum seaforthianum Andrews
316,7.4,3.9,1.5,0.9,Tillandsia bulbosa Hook.
317,4.2,3.1,5.6,1.9,Bolboschoenus maritimus (L.) Palla
318,7.9,2.8,6.4,0.5,Ziziphus parryi Torr.
319,6.0,2.7,4.9,1.7,Dicranoweisia crispula (Hedw.) Lindb. ex Milde
320,6.2,2.9,4.4,1.1,Phyllostegia glabra (Gaudich.) Benth. var. lanaiensis Sherff
321,6.5,4.0,4.0,2.1,Piper hispidum Sw.
322,7.0,3.1,4.5,1.0,Rubus whartoniae L.H. Bailey
323,7.6,3.2,5.9,2.0,Ranunculus acriformis A. Gray var. montanensis (Rydb.) L.D. Benson
324,5.0,3.7,4.3,1.6,Bryoerythrophyllum inaequalifolium (Taylor) R.H. Zander
325,5.7,2.7,4.6,2.1,Notholaena grayi Davenport
326,5.8,2.8,5.2,2.2,Cystopteris protrusa (Weath.) Blasdell
327,7.9,2.4,1.3,1.6,Rudbeckia laciniata L.
328,6.3,4.0,3.9,2.2,Sorghum bicolor (L.) Moench ssp. bicolor
329,4.4,2.2,5.8,2.2,Homomallium mexicanum Cardot
330,5.7,3.7,4.8,2.2,Clematis viticaulis Steele
331,4.6,2.8,3.8,2.2,Hymenophyllum hirsutum (L.) Sw.
332,7.9,2.2,2.8,2.0,Beta patula Aiton
333,6.9,4.2,1.5,1.7,Morella rubra Lour.
334,7.7,2.5,4.5,2.2,Oenothera mexicana Spach
335,7.3,4.0,6.4,1.4,Leptopus Decne.
336,6.4,4.0,2.9,2.1,Malpighia fucata Ker Gawl.
337,4.1,2.9,3.8,1.5,Pseudephebe minuscula (Nyl. ex Arnold) Brodo & D. Hawksw.
338,5.5,2.1,3.6,0.5,Graphina acharii (Fée) Müll. Arg.
339,4.1,4.3,6.4,0.8,Lobelia spicata Lam. var. campanulata McVaugh
340,5.6,2.4,3.9,0.4,Saxifraga flagellaris Willd. ex Sternb. ssp. crandallii (Gandog.) Hultén
341,6.0,3.6,1.6,1.0,Yucca baccata Torr.
342,7.7,2.7,2.2,0.4,Galeopsis ladanum L. var. ladanum
343,6.2,3.8,5.8,1.6,Parapholis strigosa (Dumort.) C.E. Hubbard
344,6.3,3.4,4.2,0.9,Cirsium subniveum Rydb.
345,4.8,2.8,3.2,1.8,Clarkia mosquinii E. Small
346,4.7,3.7,6.6,2.3,Eriogonum ericifolium Torr. & A. Gray
347,4.1,2.8,1.9,1.9,Koenigia L.
348,4.3,2.5,3.8,0.9,Sida hermaphrodita (L.) Rusby
